,url
341,https://www.neubaukompass.de/neubau/einbecker-strasse-31/wohneinheit-97855
342,https://www.neubaukompass.de/neubau/einbecker-strasse-31/wohneinheit-81543
343,https://www.neubaukompass.de/neubau/althoff-18-berlin/
344,https://www.neubaukompass.de/neubau/im-buntzeleck-berlin/
345,https://www.neubaukompass.de/neubau/im-buntzeleck-berlin/wohneinheit-80079
346,https://www.neubaukompass.de/neubau/im-buntzeleck-berlin/wohneinheit-82886
347,https://www.neubaukompass.de/neubau/im-buntzeleck-berlin/wohneinheit-82887
348,https://www.neubaukompass.de/neubau/fidelio-potsdam/
349,https://www.neubaukompass.de/neubau/safe-and-sound-neukoelln-berlin/
350,https://www.neubaukompass.de/neubau/wohnen-am-jungfernsee-potsdam/
351,https://www.neubaukompass.de/neubau/carte-blanche-berlin/
352,https://www.neubaukompass.de/neubau/ts4-berlin/
353,https://www.neubaukompass.de/neubau/ts4-berlin/wohneinheit-91944
